Duty cycle	MeasGND 2.048V REF
0	-28	-53	32767
1	-52	-54	32767
2	-58	-54	32767
3	-51	-56	32767
4	-47	-63	32767
5	-47	-63	32767
6	-52	-57	32767
7	-53	-52	32767
8	-50	-58	32767
9	-48	-55	32767
10	-45	-51	32767
11	-26	-50	32767
12	2	-52	32767
13	38	-55	32767
14	64	-59	32767
15	81	-55	32767
16	101	-56	32767
17	119	-60	32767
18	136	-61	32767
19	149	-61	32767
20	163	-63	32767
21	166	-60	32767
22	180	-58	32767
23	189	-57	32767
24	200	-57	32767
25	209	-56	32767
26	215	-54	32767
27	225	-53	32767
28	237	-56	32767
29	250	-61	32767
30	257	-57	32767
31	269	-57	32767
32	283	-64	32767
33	291	-65	32767
34	296	-62	32767
35	303	-59	32767
36	314	-62	32767
37	321	-56	32767
38	327	-54	32767
39	341	-60	32767
40	349	-59	32767
41	357	-59	32767
42	368	-60	32767
43	382	-63	32767
44	392	-66	32767
45	397	-62	32767
46	404	-63	32767
47	415	-62	32767
48	421	-58	32767
49	427	-58	32767
50	441	-62	32767
51	449	-60	32767
52	460	-65	32767
53	473	-69	32767
54	485	-71	32767
55	489	-65	32767
56	498	-65	32767
57	511	-65	32767
58	521	-61	32767
59	525	-60	32767
60	537	-56	32767
61	549	-63	32767
62	560	-62	32767
63	571	-63	32767
64	589	-70	32767
65	598	-70	32767
66	606	-66	32767
67	616	-62	32767
68	630	-67	32767
69	636	-62	32767
70	644	-62	32767
71	652	-60	32767
72	669	-64	32767
73	681	-66	32767
74	688	-67	32767
75	704	-70	32767
76	719	-74	32767
77	728	-68	32767
78	735	-67	32767
79	752	-70	32767
80	760	-69	32767
81	766	-65	32767
82	779	-67	32767
83	790	-72	32767
84	800	-69	32767
85	814	-72	32767
86	824	-70	32767
87	842	-79	32767
88	855	-77	32767
89	859	-72	32767
90	873	-75	32767
91	881	-68	32767
92	892	-68	32767
93	908	-71	32767
94	921	-71	32767
95	954	-78	32767
96	1006	-80	32767
97	1014	-75	32767
98	1011	-76	32767
100	1015	-74	32767
